t[s],[v4],[v5]
3.666361,8.517022,7.601155
3.676361,8.303502,7.845354
3.686361,8.079815,8.099729
3.696361,7.896798,8.343928
3.706361,7.67311,8.547428
3.716361,7.479925,8.761102
3.726361,7.24607,8.995127
3.736361,7.063053,9.168101
3.746361,6.869868,9.371601
3.756361,6.717354,9.463176
3.774209,6.452996,9.575101
3.784209,6.310649,9.63615
3.794209,6.208973,9.6972
3.804209,6.097129,9.75825
3.814209,6.005621,9.809125
3.824209,5.934448,9.86
3.834209,5.863274,9.9007
3.844209,5.812436,9.92105
3.854209,5.751431,9.910875
3.864209,5.71076,9.910875
3.886691,5.619252,9.92105
3.896691,5.558246,9.910875
3.906691,5.507408,9.92105
3.916691,5.466737,9.910875
3.926691,5.45657,9.92105
3.936691,5.446402,9.92105
3.946691,5.446402,9.92105
3.956691,5.45657,9.910875
3.966691,5.49724,9.92105
3.976691,5.558246,9.92105
4.003182,5.812436,9.83965
4.013182,5.92428,9.7786
4.023182,6.005621,9.71755
4.033182,6.117465,9.6565
4.043182,6.229308,9.59545
4.053182,6.341152,9.534401
4.063182,6.463164,9.483526
4.073182,6.595343,9.412301
4.083182,6.747857,9.229151
4.093182,6.880036,9.056177
4.120451,7.327411,8.527078
4.130451,7.510428,8.313403
4.140451,7.683278,8.099729
4.150451,7.866295,7.916579
4.160451,8.008641,7.733429
4.170451,8.171323,7.560455
4.180451,8.334005,7.38748
4.190451,8.466184,7.22468
4.200451,8.618698,7.051706
4.210451,8.771213,6.899081
4.22344,9.015235,6.644707
4.23344,9.147414,6.512432
4.24344,9.299929,6.359807
4.25344,9.401605,6.237707
4.26344,9.452443,6.135958
4.27344,9.482946,6.044383
4.28344,9.503281,5.983333
4.29344,9.503281,5.912108
4.30344,9.503281,5.881583
4.31344,9.503281,5.861233
4.328084,9.503281,5.851058
4.338084,9.503281,5.861233
4.348084,9.493113,5.851058
4.358084,9.472778,5.861233
4.368084,9.442275,5.861233
4.378084,9.360934,5.861233
4.388084,9.259258,5.861233
4.398084,9.076241,5.861233
4.408084,8.852553,5.861233
4.418084,8.608531,5.861233
4.435324,8.10015,5.861233
4.445324,7.835792,5.881583
4.455324,7.540931,5.932458
4.465324,7.256238,6.003683
4.475324,7.052885,6.054558
4.485324,6.81903,6.146133
4.495324,6.666516,6.258057
4.505324,6.534337,6.369982
4.515324,6.463164,6.492082
4.525324,6.432661,6.624357
4.546522,6.432661,6.899081
4.556522,6.432661,7.000831
4.566522,6.463164,7.102581
4.576522,6.514002,7.22468
4.586522,6.575007,7.32643
4.596522,6.646181,7.44853
4.606522,6.747857,7.55028
4.616522,6.839365,7.63168
4.626522,6.971544,7.672379
4.636522,7.134226,7.682554
4.661618,7.642607,7.621505
4.671618,7.906965,7.52993
4.681618,8.150988,7.38748
4.691618,8.405178,7.255205
4.701618,8.639033,7.102581
4.711618,8.872889,6.960131
4.721618,9.045738,6.817681
4.731618,9.16775,6.675231
4.741618,9.279593,6.553132
4.751618,9.340599,6.431032
4.764433,9.360934,6.278407
4.774433,9.371102,6.146133
4.784433,9.371102,6.034208
4.794433,9.360934,5.912108
4.804433,9.350767,5.790008
4.814433,9.320264,5.678084
4.824433,9.24909,5.596684
4.834433,9.127079,5.535634
4.844433,8.974565,5.515284
4.854433,8.78138,5.505109
4.876626,8.435681,5.617034
4.886626,8.303502,5.790008
4.896626,8.130653,6.013858
4.906626,7.947636,6.278407
4.916626,7.795121,6.573482
4.926626,7.652775,6.888906
4.936626,7.551099,7.18398
4.946626,7.490093,7.458705
4.956626,7.479925,7.662204
4.966626,7.479925,7.804654
4.993216,7.561266,7.926754
5.003216,7.652775,7.926754
5.013216,7.774786,7.906404
5.023216,7.917133,7.855529
5.033216,8.008641,7.753779
5.043216,8.130653,7.63168
5.053216,8.272999,7.46888
5.063216,8.384843,7.28573
5.073216,8.547525,7.102581
5.083216,8.74071,6.909256
5.105181,9.177917,6.512432
5.115181,9.401605,6.319107
5.125181,9.493113,6.146133
5.135181,9.564287,5.993508
5.145181,9.615125,5.820533
5.155181,9.655795,5.657734
5.165181,9.67613,5.494934
5.175181,9.686298,5.372834
